Execution Delay,Status Code,IP Address,Execution Time,Context
0,200,169.254.100.17,0.00865793228149414,Cold Started
0,200,169.254.100.17,7.43865966796875e-05,Warm Started
0,200,169.254.100.17,0.00010991096496582031,Warm Started
0,200,169.254.100.17,7.224082946777344e-05,Warm Started
0,200,169.254.100.17,7.534027099609375e-05,Warm Started
0,200,169.254.100.17,7.343292236328125e-05,Warm Started
0,200,169.254.100.17,7.486343383789062e-05,Warm Started
0,200,169.254.100.17,7.581710815429688e-05,Warm Started
0,200,169.254.100.17,7.128715515136719e-05,Warm Started
0,200,169.254.100.17,7.152557373046875e-05,Warm Started
1,200,169.254.138.85,0.014833211898803711,Cold Started
1,200,169.254.128.53,0.01981973648071289,Cold Started
1,200,169.254.138.85,6.937980651855469e-05,Warm Started
1,200,169.254.138.85,7.200241088867188e-05,Warm Started
1,200,169.254.128.53,7.295608520507812e-05,Warm Started
1,200,169.254.138.85,7.462501525878906e-05,Warm Started
1,200,169.254.128.53,6.961822509765625e-05,Warm Started
1,200,169.254.128.53,7.581710815429688e-05,Warm Started
1,200,169.254.138.85,7.081031799316406e-05,Warm Started
1,200,169.254.138.85,7.2479248046875e-05,Warm Started
2,200,169.254.196.165,0.019166231155395508,Cold Started
2,200,169.254.41.85,0.01011347770690918,Cold Started
2,200,169.254.122.125,0.005056858062744141,Cold Started
2,200,169.254.196.165,7.2479248046875e-05,Warm Started
2,200,169.254.41.85,6.961822509765625e-05,Warm Started
2,200,169.254.122.125,7.390975952148438e-05,Warm Started
2,200,169.254.41.85,6.794929504394531e-05,Warm Started
2,200,169.254.122.125,7.534027099609375e-05,Warm Started
2,200,169.254.41.85,7.05718994140625e-05,Warm Started
2,200,169.254.196.165,8.058547973632812e-05,Warm Started
3,200,169.254.56.45,0.01637125015258789,Cold Started
3,200,169.254.46.113,0.009649038314819336,Cold Started
3,200,169.254.207.61,0.0067577362060546875,Cold Started
3,200,169.254.217.57,0.005466938018798828,Cold Started
3,200,169.254.56.45,7.176399230957031e-05,Warm Started
3,200,169.254.46.113,7.772445678710938e-05,Warm Started
3,200,169.254.207.61,0.00022482872009277344,Warm Started
3,200,169.254.56.45,7.05718994140625e-05,Warm Started
3,200,169.254.46.113,7.43865966796875e-05,Warm Started
3,200,169.254.207.61,0.0002529621124267578,Warm Started
10,200,169.254.10.197,0.007883787155151367,Cold Started
10,200,169.254.37.141,0.013796091079711914,Cold Started
10,200,169.254.203.165,0.0027315616607666016,Cold Started
10,200,169.254.94.181,0.014749526977539062,Cold Started
10,200,169.254.94.133,0.007241010665893555,Cold Started
10,200,169.254.0.133,0.009755611419677734,Cold Started
10,200,169.254.27.221,0.009662866592407227,Cold Started
10,200,169.254.130.89,0.004831552505493164,Cold Started
10,200,169.254.59.253,0.01187443733215332,Cold Started
10,200,169.254.199.61,0.014205217361450195,Cold Started